ID,Name,S610,SVLA,alpha,rms,Sp,e_Sp,Si,e_Si,RA,Dec
L0003,LH1.4GHzJ104849.8+571415,19386,10840,-0.7,,,,,,,
L0009,LH1.4GHzJ104858.3+570925,1709,1384,-0.25,102,462,112,642,121,162.242958361,57.157160902
L0012,LH1.4GHzJ104905.1+571151,26691,14612,-0.73,,,,,,,
L0016,LH1.4GHzJ104914.8+570508,1029,529,-0.8,,,,,,,
L0025,LH1.4GHzJ104922.9+571901,4994,2425,-0.87,76,939,121,2209,234,162.345288947,57.317164956
L0034,LH1.4GHzJ104934.3+570608,,14787,,74,323,81,295,80,162.393862805,57.103353297
L0049,LH1.4GHzJ104943.8+571737,1008,1013,0.01,52,541,75,666,84,162.432542797,57.29366112
L0051,LH1.4GHzJ104944.1+570628,1823,1275,-0.43,66,528,85,916,113,162.433765316,57.108035949
L0055,LH1.4GHzJ104947.8+571354,689,607,-0.15,54,423,69,490,73,162.4489331,57.231806689
L0061,LH1.4GHzJ104950.4+570120c,5266,,,,,,,,,
L0066,LH1.4GHzJ104951.3+572812,967,1083,0.14,75,713,104,922,119,162.463891893,57.470082634
L0077,LH1.4GHzJ104954.2+570456,1363,1376,0.01,66,541,86,633,91,162.475858493,57.082238326
L0081,LH1.4GHzJ104956.7+570647,596,335,-0.69,,,,,,,
L0082,LH1.4GHzJ104956.8+571042,2053,1046,-0.81,,,,,,,
L0087,LH1.4GHzJ104958.0+570727,1082,650,-0.61,,,,,,,
L0100,LH1.4GHzJ105002.0+571622,213,232,0.1,,,,,,,
L0117,LH1.4GHzJ105007.3+571652,452,257,-0.68,,,,,,,
L0119,LH1.4GHzJ105008.1+572018,3486,2035,-0.65,43,647,78,1195,127,162.533539506,57.338390632
L0130,LH1.4GHzJ105010.4+570724b,1876,5598,1.32,54,1291,141,2335,240,162.538743032,57.121401186
L0140,LH1.4GHzJ105012.6+571137,1280,616,-0.88,42,235,48,415,59,162.552329219,57.193600719
L0144,LH1.4GHzJ105014.4+572844,689,416,-0.61,,,,,,,
L0149,LH1.4GHzJ105015.6+570258,5060,3155,-0.57,64,687,94,983,117,162.564968684,57.048810568
L0160,LH1.4GHzJ105019.7+572812,662,266,-1.1,,,,,,,
L0165,LH1.4GHzJ105023.4+572439,485,253,-0.78,,,,,,,
L0171,LH1.4GHzJ105025.5+570453,266,250,-0.07,55,275,62,271,61,162.606338811,57.081508924
L0173,LH1.4GHzJ105026.3+570744,1270,793,-0.57,,,,,,,
L0181,LH1.4GHzJ105029.2+571427,2450,1286,-0.78,,,,,,,
L0183,LH1.4GHzJ105029.6+571036,417,203,-0.87,,,,,,,
L0189,LH1.4GHzJ105032.0+572027,5184,723,-2.37,,,,,,,
L0194,LH1.4GHzJ105032.7+572646,371,466,0.27,41,364,55,497,64,162.636123187,57.446286836
L0197,LH1.4GHzJ105033.1+571703,388,169,-1,,,,,,,
L0199,LH1.4GHzJ105034.0+572152,1830,1005,-0.72,36,214,42,220,42,162.641811126,57.364553024
L0201,LH1.4GHzJ105034.2+572922,712,336,-0.9,,,,,,,
L0211,LH1.4GHzJ105035.9+572318,4128,1768,-1.02,,,,,,,
L0217,LH1.4GHzJ105037.6+572844,701,420,-0.62,,,,,,,
L0225,LH1.4GHzJ105039.1+565806,2554,1520,-0.62,,,,,,,
L0227,LH1.4GHzJ105039.6+572336,4326,4936,0.16,36,2687,272,3972,399,162.664768172,57.393502619
L0231,LH1.4GHzJ105040.7+573308,959,703,-0.37,54,740,92,984,112,162.669491607,57.552292637
L0234,LH1.4GHzJ105042.0+570706,1516,770,-0.82,,,,,,,
L0251,LH1.4GHzJ105045.2+573734,1286,858,-0.49,76,348,84,290,81,162.688439094,57.626114051
L0256,LH1.4GHzJ105045.9+570822,430,344,-0.27,39,164,42,153,42,162.691253621,57.139547122
L0263,LH1.4GHzJ105048.2+571614,336,165,-0.86,,,,,,,
L0273,LH1.4GHzJ105050.5+570715,856,386,-0.96,,,,,,,
L0284,LH1.4GHzJ105053.4+572426,568,279,-0.86,,,,,,,
L0290,LH1.4GHzJ105054.6+570810,841,344,-1.08,,,,,,,
L0301,LH1.4GHzJ105056.6+571532,1542,700,-0.95,,,,,,,
L0302,LH1.4GHzJ105056.6+571631,557,324,-0.65,,,,,,,
L0320,LH1.4GHzJ105100.9+572036,751,322,-1.02,,,,,,,
L0328,LH1.4GHzJ105101.9+573445,3371,1332,-1.12,,,,,,,
L0339,LH1.4GHzJ105104.9+572719,348,153,-0.99,,,,,,,
L0342,LH1.4GHzJ105104.7+570150b,4050,,,,,,,,,
L0346,LH1.4GHzJ105105.8+571057,699,421,-0.61,,,,,,,
L0352,LH1.4GHzJ105106.7+571152,255,355,0.4,32,163,36,282,43,162.777939135,57.197994694
L0354,LH1.4GHzJ105107.7+570205,314,,,,,,,,,
L0380,LH1.4GHzJ105113.2+574156,2490,1152,-0.93,,,,,,,
L0381,LH1.4GHzJ105113.4+571426,1455,763,-0.78,,,,,,,
L0382,LH1.4GHzJ105113.5+572654,440,283,-0.53,,,,,,,
L0386,LH1.4GHzJ105115.0+573552,4841,2362,-0.86,47,168,50,133,49,162.812383572,57.597906246
L0397,LH1.4GHzJ105117.6+571639,552,398,-0.39,27,265,38,411,49,162.823463843,57.277592149
L0399,LH1.4GHzJ105118.0+571920,218,131,-0.61,,,,,,,
L0408,LH1.4GHzJ105120.0+570954,1209,601,-0.84,,,,,,,
L0409,LH1.4GHzJ105120.4+572253,399,238,-0.62,,,,,,,
L0411,LH1.4GHzJ105120.8+573037,439,336,-0.32,32,205,38,294,44,162.83673954,57.510376172
L0412,LH1.4GHzJ105120.9+573532,9061,8496,-0.08,45,4679,472,8966,898,162.836886524,57.592367389
L0416,LH1.4GHzJ105121.5+573613,563,,,,,,,,,
L0420,LH1.4GHzJ105122.1+570854,18706,10644,-0.68,36,2080,212,10562,921,162.841971832,57.148560655
L0423,LH1.4GHzJ105122.9+573228,1928,1434,-0.36,34,642,73,1343,138,162.845349839,57.541242785
L0427,LH1.4GHzJ105123.6+570849,697,459,-0.5,,,,,,,
L0437,LH1.4GHzJ105125.7+573544,945,577,-0.59,,,,,,,
L0447,LH1.4GHzJ105127.5+573620,362,,,,,,,,,
L0449,LH1.4GHzJ105127.8+570854,,12570,,36,337,49,506,62,162.86695653,57.150285403
L0452,LH1.4GHzJ105128.1+573502,585,361,-0.58,,,,,,,
L0465,LH1.4GHzJ105130.5+573808,444,259,-0.65,,,,,,,
L0468,LH1.4GHzJ105130.5+574407,924,,,,,,,,,
L0477,LH1.4GHzJ105132.4+571114,22200,12756,-0.67,32,823,89,1157,120,162.884787347,57.18764161
L0484,LH1.4GHzJ105134.1+570922,177,348,0.81,34,261,43,278,44,162.892178451,57.156140392
L0492,LH1.4GHzJ105135.5+572739,324,182,-0.69,,,,,,,
L0498,LH1.4GHzJ105136.1+572959,605,302,-0.84,,,,,,,
L0500,LH1.4GHzJ105136.2+573302,955,537,-0.69,,,,,,,
L0502,LH1.4GHzJ105136.4+570129,1623,803,-0.85,,,,,,,
L0505,LH1.4GHzJ105136.9+573751,1129,514,-0.95,,,,,,,
L0506,LH1.4GHzJ105137.0+572940,4179,2532,-0.6,28,295,41,402,49,162.904118977,57.494500938
L0507,LH1.4GHzJ105137.7+574454,2746,1036,-1.17,,,,,,,
L0513,LH1.4GHzJ105139.1+573043,441,,,,,,,,,
L0529,LH1.4GHzJ105141.4+571951,626,372,-0.63,,,,,,,
L0534,LH1.4GHzJ105142.0+571501,392,201,-0.8,,,,,,,
L0535,LH1.4GHzJ105142.0+573447,483,1090,0.98,35,885,96,1168,122,162.925189291,57.579945389
L0536,LH1.4GHzJ105142.1+573554,,4940,,38,982,106,1243,130,162.925392256,57.59848336
L0548,LH1.4GHzJ105143.7+572937,891,432,-0.87,,,,,,,
L0553,LH1.4GHzJ105144.5+570555,300,,,,,,,,,
L0555,LH1.4GHzJ105144.5+571719,294,150,-0.81,,,,,,,
L0578,LH1.4GHzJ105148.7+573248,835,807,-0.04,30,747,81,944,99,162.952962275,57.546820439
L0593,LH1.4GHzJ105150.1+572635,177,118,-0.49,24,246,34,272,36,162.958786403,57.443275605
L0595,LH1.4GHzJ105150.3+573244,35615,16418,-0.93,,,,,,,
L0603,LH1.4GHzJ105151.7+572636,238,127,-0.76,,,,,,,
L0604,LH1.4GHzJ105152.0+570907,305,208,-0.46,,,,,,,
L0607,LH1.4GHzJ105152.4+570950,4951,3118,-0.56,34,1005,107,2965,216,162.968238773,57.163967637
L0644,LH1.4GHzJ105158.3+570913,372,214,-0.67,,,,,,,
L0648,LH1.4GHzJ105158.9+572330,121,234,0.79,23,177,29,304,38,162.9954889,57.391705693
L0653,LH1.4GHzJ105159.4+570013b,2059,,,,,,,,,
L0665,LH1.4GHzJ105201.1+565947,2181,480,-1.82,,,,,,,
L0667,LH1.4GHzJ105201.3+572445,104,120,0.17,,,,,,,
L0669,LH1.4GHzJ105201.9+574051,611,260,-1.03,,,,,,,
L0679,LH1.4GHzJ105204.2+572655,195,121,-0.57,,,,,,,
L0687,LH1.4GHzJ105205.0+572917,250,130,-0.79,,,,,,,
L0691,LH1.4GHzJ105205.5+571710,115,141,0.25,,,,,,,
L0698,LH1.4GHzJ105206.1+565704,2136,,,,,,,,,
L0703,LH1.4GHzJ105206.5+574109,13423,10542,-0.29,50,2828,289,8420,555,163.026882769,57.686063698
L0705,LH1.4GHzJ105207.2+570745,560,287,-0.8,,,,,,,
L0708,LH1.4GHzJ105207.5+571903,,324,,24,275,37,269,36,163.031206078,57.31778852
L0722,LH1.4GHzJ105210.6+571203,289,172,-0.62,,,,,,,
L0724,LH1.4GHzJ105211.0+572908,2917,1713,-0.64,24,1064,110,1585,160,163.045937557,57.485563316
L0736,LH1.4GHzJ105212.5+572453,466,278,-0.62,,,,,,,
L0739,LH1.4GHzJ105213.4+571605,574,301,-0.78,,,,,,,
L0750,LH1.4GHzJ105215.0+572635,299,161,-0.75,,,,,,,
L0760,LH1.4GHzJ105216.6+573530,296,194,-0.51,,,,,,,
L0763,LH1.4GHzJ105216.9+572017,215,126,-0.64,,,,,,,
L0767,LH1.4GHzJ105217.6+572127,445,216,-0.87,,,,,,,
L0776,LH1.4GHzJ105219.1+571857,219,123,-0.69,,,,,,,
L0800,LH1.4GHzJ105224.5+570838,3944,2639,-0.48,,,,,,,
L0805,LH1.4GHzJ105225.3+571131,275,174,-0.55,,,,,,,
L0809,LH1.4GHzJ105225.6+573322,8663,4873,-0.69,,,,,,,
L0810,LH1.4GHzJ105225.8+570152,975,696,-0.41,,,,,,,
L0824,LH1.4GHzJ105227.4+571415,268,154,-0.67,,,,,,,
L0838,LH1.4GHzJ105229.1+571242,236,189,-0.27,,,,,,,
L0845,LH1.4GHzJ105230.5+570853,551,314,-0.68,,,,,,,
L0846,LH1.4GHzJ105230.6+571312,373,282,-0.34,30,198,36,291,42,163.12756064,57.220099911
L0851,LH1.4GHzJ105231.1+573501,278,233,-0.21,,,,,,,
L0860,LH1.4GHzJ105231.8+570650,539,1137,0.9,49,582,76,1015,113,163.132553769,57.114020856
L0862,LH1.4GHzJ105232.3+572447,293,234,-0.27,,,,,,,
L0867,LH1.4GHzJ105232.4+570842,565,212,-1.18,,,,,,,
L0870,LH1.4GHzJ105232.9+572542,320,148,-0.93,,,,,,,
L0876,LH1.4GHzJ105234.0+573057,,144,,25,113,28,143,29,163.141622298,57.515886497
L0879,LH1.4GHzJ105234.9+572641,255,134,-0.77,,,,,,,
L0882,LH1.4GHzJ105235.4+572652,484,236,-0.86,,,,,,,
L0890,LH1.4GHzJ105237.3+573103,,63323,,25,551,61,607,66,163.15566438,57.517692521
L0891,LH1.4GHzJ105237.4+572148,280,175,-0.57,,,,,,,
L0902,LH1.4GHzJ105239.6+572431,257,142,-0.71,,,,,,,
L0903,LH1.4GHzJ105239.7+573054,227,139,-0.59,,,,,,,
L0911,LH1.4GHzJ105241.4+572320,2435,1740,-0.4,23,160,28,184,30,163.172665445,57.389069831
L0917,LH1.4GHzJ105242.4+572444,342,267,-0.3,,,,,,,
L0918,LH1.4GHzJ105242.4+571914,602,349,-0.66,,,,,,,
L0927,LH1.4GHzJ105243.3+574813,1013,1857,0.73,100,1313,166,1237,159,163.180471707,57.803888368
L0933,LH1.4GHzJ105245.3+573616,619,448,-0.39,31,261,41,267,41,163.188933432,57.604521945
L0953,LH1.4GHzJ105250.0+574450,1682,988,-0.64,65,334,73,309,72,163.208413838,57.747505888
L0966,LH1.4GHzJ105252.8+570753,553,292,-0.77,,,,,,,
L0968,LH1.4GHzJ105252.8+572859,538,212,-1.12,,,,,,,
L0973,LH1.4GHzJ105254.2+572341,170,157,-0.1,24,143,28,140,28,163.226115327,57.39499839
L0975,LH1.4GHzJ105255.1+571944,140,,,,,,,,,
L0977,LH1.4GHzJ105255.3+571950,4514,3107,-0.45,26,1480,151,2921,293,163.23051676,57.330690586
L0987,LH1.4GHzJ105256.8+570825,910,522,-0.67,,,,,,,
L0997,LH1.4GHzJ105258.0+570834,529,375,-0.41,52,284,59,471,70,163.241765558,57.14302443
L1007,LH1.4GHzJ105259.3+573226,298,232,-0.3,,,,,,,
L1020,LH1.4GHzJ105301.3+570543,1697,945,-0.7,,,,,,,
L1022,LH1.4GHzJ105301.7+572520,361,257,-0.41,,,,,,,
L1025,LH1.4GHzJ105302.6+571813,209,143,-0.46,,,,,,,
L1028,LH1.4GHzJ105303.4+573527,210,,,,,,,,,
L1029,LH1.4GHzJ105303.7+571205,627,417,-0.49,,,,,,,
L1031,LH1.4GHzJ105303.9+573532,323,,,,,,,,,
L1034,LH1.4GHzJ105304.5+571547,143,198,0.39,30,183,35,155,34,163.268708013,57.263232348
L1036,LH1.4GHzJ105304.8+573055,755,501,-0.49,,,,,,,
L1040,LH1.4GHzJ105305.3+572330,192,147,-0.32,,,,,,,
L1052,LH1.4GHzJ105308.1+572222,355,317,-0.14,25,127,28,145,29,163.283666617,57.37303887
L1059,LH1.4GHzJ105309.3+571659,462,,,,,,,,,
L1061,LH1.4GHzJ105309.5+573712,416,294,-0.42,,,,,,,
L1062,LH1.4GHzJ105309.5+570636,887,585,-0.5,,,,,,,
L1067,LH1.4GHzJ105310.6+573435,316,190,-0.61,,,,,,,
L1077,LH1.4GHzJ105312.2+571105,947,420,-0.98,,,,,,,
L1080,LH1.4GHzJ105312.7+573111,822,429,-0.78,,,,,,,
L1092,LH1.4GHzJ105314.0+572448,,127,,25,174,30,142,29,163.308246293,57.413486699
L1094,LH1.4GHzJ105314.2+573020,725,345,-0.89,,,,,,,
L1106,LH1.4GHzJ105316.8+573550,492,294,-0.62,,,,,,,
L1108,LH1.4GHzJ105317.4+572722,185,132,-0.41,,,,,,,
L1112,LH1.4GHzJ105318.8+574546,531,,,,,,,,,
L1113,LH1.4GHzJ105318.9+572140,767,447,-0.65,,,,,,,
L1115,LH1.4GHzJ105319.0+571851,908,548,-0.61,29,144,32,229,37,163.329236431,57.314387781
L1132,LH1.4GHzJ105322.4+573652,322,192,-0.62,,,,,,,
L1136,LH1.4GHzJ105322.8+571500,597,509,-0.19,,,,,,,
L1139,LH1.4GHzJ105323.5+571733,305,185,-0.6,,,,,,,
L1144,LH1.4GHzJ105324.6+571658,975,567,-0.65,,,,,,,
L1148,LH1.4GHzJ105325.3+572911,1031,602,-0.65,26,122,29,199,33,163.355459276,57.486609371
L1155,LH1.4GHzJ105326.7+571405,527,325,-0.58,,,,,,,
L1165,LH1.4GHzJ105327.5+573316,,195,,29,260,39,219,36,163.364535455,57.554736564
L1166,LH1.4GHzJ105327.6+574543,12354,6618,-0.75,,,,,,,
L1168,LH1.4GHzJ105328.0+571115,685,393,-0.67,,,,,,,
L1197,LH1.4GHzJ105335.2+572921,578,373,-0.53,,,,,,,
L1200,LH1.4GHzJ105335.8+572157,88,147,0.62,30,194,36,226,38,163.399383286,57.365923937
L1204,LH1.4GHzJ105337.1+574315,354,,,,,,,,,
L1206,LH1.4GHzJ105337.3+574240,1432,1157,-0.26,,,,,,,
L1210,LH1.4GHzJ105338.2+574211,702,365,-0.79,,,,,,,
L1225,LH1.4GHzJ105340.9+571952,2332,1554,-0.49,34,262,43,283,44,163.420225248,57.331410611
L1227,LH1.4GHzJ105341.2+571920,262,163,-0.57,,,,,,,
L1234,LH1.4GHzJ105342.1+573026,765,346,-0.96,,,,,,,
L1235,LH1.4GHzJ105342.1+574436,12655,7825,-0.58,72,755,105,2152,194,163.425629443,57.743542688
L1239,LH1.4GHzJ105343.2+571633,366,285,-0.3,,,,,,,
L1240,LH1.4GHzJ105343.3+572530,257,,,,,,,,,
L1254,LH1.4GHzJ105346.9+571609,260,201,-0.31,,,,,,,
L1266,LH1.4GHzJ105348.8+573034,303,205,-0.47,,,,,,,
L1280,LH1.4GHzJ105354.1+574244,718,429,-0.62,,,,,,,
L1286,LH1.4GHzJ105356.5+572244,462,249,-0.74,35,145,38,258,44,163.485255414,57.379118349
L1299,LH1.4GHzJ105359.9+572600,397,215,-0.74,,,,,,,
L1302,LH1.4GHzJ105400.5+573321,4646,3016,-0.52,37,255,45,222,43,163.501801452,57.556002324
L1306,LH1.4GHzJ105401.2+573207,410,267,-0.52,36,143,39,142,39,163.505027094,57.535413357
L1325,LH1.4GHzJ105406.1+572413,311,190,-0.59,,,,,,,
L1328,LH1.4GHzJ105406.8+571256,3558,1686,-0.9,,,,,,,
L1344,LH1.4GHzJ105415.2+573336,359,220,-0.59,,,,,,,
L1361,LH1.4GHzJ105421.2+572544,1725,1041,-0.61,,,,,,,
L1364,LH1.4GHzJ105423.3+573446,1109,661,-0.62,50,415,65,598,78,163.597162837,57.579559074
L1371,LH1.4GHzJ105425.7+571937,695,376,-0.74,,,,,,,
L1374,LH1.4GHzJ105427.0+573644,322140,181160,-0.69,58,1096,124,1658,176,163.609453312,57.613618513
L1402,LH1.4GHzJ105440.6+571647,2859,1976,-0.44,,,,,,,
L1404,LH1.4GHzJ105442.1+571639,3366,2778,-0.23,98,769,125,945,136,163.675525388,57.277615166
L1409,LH1.4GHzJ105445.9+572747,999,389,-1.14,,,,,,,
L1423,LH1.4GHzJ105456.3+573017,662,514,-0.3,,,,,,,
L1424,LH1.4GHzJ105458.5+572035,1104,884,-0.27,,,,,,,
L1425,LH1.4GHzJ105458.6+572828,689,570,-0.23,,,,,,,
L1436,LH1.4GHzJ105516.0+573257,7104,,,,,,,,,
